Date,Close,Open,High,Low,Volume,Price_Change_Percent
2015-12-16 00:00:00,15.63,14.81,15.66,14.72,76564500,5.5367994598244445
2016-02-17 00:00:00,11.25,10.6,11.29,10.45,87378000,6.1320754716981165
2016-03-24 00:00:00,15.18,14.39,15.26,14.33,74413500,5.489923558026401
2016-04-05 00:00:00,17.03,16.03,17.1,16.0,149230500,6.238303181534622
2016-07-01 00:00:00,14.43,13.74,14.55,13.73,81000000,5.021834061135368
2017-01-04 00:00:00,15.13,14.32,15.2,14.29,168202500,5.65642458100559
2017-11-13 00:00:00,21.03,20.01,21.12,19.94,113773500,5.0974512743628155
2018-01-08 00:00:00,22.43,21.07,22.47,21.03,147891000,6.454674893213097
2018-03-12 00:00:00,23.03,21.91,23.15,21.77,123960000,5.111821086261985
2018-04-04 00:00:00,19.13,16.85,19.22,16.8,298450500,13.53115727002966
2018-04-05 00:00:00,20.38,19.29,20.42,19.21,286816500,5.6505961638154485
2018-06-06 00:00:00,21.3,20.03,21.48,19.83,281509500,6.340489266100846
2018-08-02 00:00:00,23.3,21.9,23.33,21.54,348225000,6.392694063926951
2018-08-07 00:00:00,25.3,22.92,25.83,22.61,463137000,10.383944153577657
2018-08-20 00:00:00,20.56,19.45,20.57,19.21,261034500,5.706940874035987
2018-09-19 00:00:00,19.93,18.7,20.0,18.7,124423500,6.577540106951874
2018-10-23 00:00:00,19.61,17.59,19.86,17.47,285417000,11.483797612279702
2018-10-26 00:00:00,22.06,20.55,22.66,20.44,411382500,7.347931873479309
2018-11-26 00:00:00,23.07,21.67,23.08,21.67,119881500,6.460544531610514
2018-12-26 00:00:00,21.74,20.0,21.8,19.61,122446500,8.699999999999992
2019-06-04 00:00:00,12.91,12.07,12.93,11.97,207112500,6.959403479701738
2019-09-26 00:00:00,16.17,15.38,16.22,15.16,178267500,5.136540962288692
2019-10-25 00:00:00,21.88,19.85,22.0,19.74,450091500,10.226700251889156
2019-12-16 00:00:00,25.43,24.17,25.57,24.17,272613000,5.213074058750509
2020-01-13 00:00:00,34.99,32.9,35.04,32.8,397764000,6.352583586626151
2020-02-03 00:00:00,52.0,44.91,52.41,44.9,705975000,15.787129815185935
2020-02-06 00:00:00,49.93,46.66,53.06,45.8,598212000,7.008144020574375
2020-02-13 00:00:00,53.6,49.46,54.53,49.0,394339500,8.370400323493733
2020-02-28 00:00:00,44.53,41.98,46.03,40.77,363343500,6.074321105288243
2020-03-19 00:00:00,28.51,24.98,30.13,23.9,452932500,14.131305044035233
2020-03-24 00:00:00,33.67,31.82,34.25,31.6,343428000,5.813953488372097
2020-04-13 00:00:00,43.4,39.34,43.47,38.7,337131000,10.320284697508884
2020-04-27 00:00:00,53.25,49.17,53.3,49.0,310221000,8.297742525930442
2020-05-04 00:00:00,50.75,46.73,50.8,46.53,288556500,8.602610742563671
2020-06-15 00:00:00,66.06,61.19,66.59,60.57,235458000,7.958816800130748
2020-06-30 00:00:00,71.99,67.1,72.51,66.92,253777500,7.287630402384503
2020-07-06 00:00:00,91.44,85.11,91.85,84.4,308548500,7.437433909058863
2020-07-10 00:00:00,102.98,93.07,103.26,91.73,350064000,10.647899430536167
2020-07-20 00:00:00,109.53,101.27,110.0,99.2,256821000,8.156413547941153
2020-07-27 00:00:00,102.64,95.67,103.2,94.2,240730500,7.285460436918573
2020-08-12 00:00:00,103.65,98.0,105.67,95.67,327441000,5.765306122448986
2020-08-17 00:00:00,122.38,111.8,123.06,111.52,303634500,9.463327370304112
2020-08-20 00:00:00,133.46,124.05,134.8,123.8,309177000,7.585650947198719
2020-08-31 00:00:00,166.11,148.2,166.71,146.7,355123200,12.085020242914997
2020-09-14 00:00:00,139.87,126.98,140.0,124.43,249061800,10.15120491415971
2020-09-24 00:00:00,129.26,121.27,133.17,117.1,289683300,6.588603941617873
2020-11-18 00:00:00,162.21,149.45,165.33,147.83,234132000,8.537972566075624
2020-12-07 00:00:00,213.92,201.64,216.26,201.02,168929100,6.090061495734974
2020-12-10 00:00:00,209.02,191.46,209.25,188.78,201249600,9.17162853859814
2021-02-23 00:00:00,232.95,220.71,237.87,206.33,199820700,5.545738752208772
2021-03-09 00:00:00,224.53,202.73,226.03,198.4,202569900,10.753218566566375
2021-03-17 00:00:00,233.94,218.96,234.58,217.0,121117500,6.841432225063934
2021-03-30 00:00:00,211.87,200.58,212.55,197.0,118297200,5.628676837172196
2021-04-13 00:00:00,254.11,237.57,254.33,236.89,133958400,6.962158521698876
2021-04-21 00:00:00,248.04,234.92,248.28,232.67,93646500,5.584879959135027
2021-04-30 00:00:00,236.48,222.53,238.49,222.05,122276100,6.268817687502803
2021-10-25 00:00:00,341.62,316.84,348.34,314.73,188556300,7.82098219921728
2021-11-01 00:00:00,402.86,381.67,403.25,372.89,168146100,5.5519165771477965
2021-11-10 00:00:00,355.98,336.8,359.37,329.1,128408100,5.694774346793351
2021-11-16 00:00:00,351.58,334.44,352.4,334.06,79627200,5.124985049635207
2021-12-23 00:00:00,355.67,335.6,357.66,332.52,92713200,5.980333730631702
2022-01-10 00:00:00,352.71,333.33,353.03,326.67,91815000,5.8140581405814045
2022-01-31 00:00:00,312.24,290.9,312.66,287.35,104436000,7.335854245445182
2022-02-24 00:00:00,266.92,233.46,267.49,233.33,135322200,14.332219652188815
2022-02-28 00:00:00,290.14,271.67,292.29,271.57,99006900,6.798689586630828
2022-03-22 00:00:00,331.33,310.0,332.62,307.25,105868500,6.8806451612903174
2022-04-04 00:00:00,381.82,363.13,383.3,357.51,82035900,5.146917082036736
2022-05-04 00:00:00,317.54,301.31,318.5,295.09,81643800,5.386479041518707
2022-05-25 00:00:00,219.6,207.95,223.11,207.67,92139300,5.602308247174805
2022-05-26 00:00:00,235.91,220.47,239.56,217.89,106003200,7.003220392797205
2022-05-27 00:00:00,253.21,241.08,253.27,240.18,89295000,5.031524805043967
2022-06-02 00:00:00,258.33,244.16,264.21,242.07,93473100,5.8035714285714235
2022-06-15 00:00:00,233.0,220.92,235.66,218.15,119131800,5.468042730400151
2022-06-21 00:00:00,237.04,224.6,243.58,224.33,122793000,5.538735529830809
2022-07-13 00:00:00,237.04,225.5,242.06,225.03,97954500,5.117516629711749
2022-07-21 00:00:00,271.71,255.11,273.27,254.87,142032300,6.506996981694158
2022-07-29 00:00:00,297.15,280.7,298.32,279.1,95313000,5.860349127182041
2022-10-13 00:00:00,221.72,208.3,222.99,206.22,91483000,6.442630820931343
2022-10-25 00:00:00,222.42,210.1,224.35,210.0,96507900,5.863874345549735
2022-11-11 00:00:00,195.97,186.0,196.52,182.59,114403600,5.36021505376344
2022-11-23 00:00:00,183.2,173.57,183.62,172.5,109536700,5.548193812294748
2022-11-30 00:00:00,194.7,182.43,194.76,180.63,109186400,6.725867456010515
2023-01-06 00:00:00,113.06,103.0,114.39,101.81,220911100,9.766990291262138
2023-01-13 00:00:00,122.4,116.55,122.63,115.6,180714100,5.019305019305027
2023-01-23 00:00:00,143.75,135.87,145.38,134.27,203119200,5.799661441083384
2023-01-27 00:00:00,177.9,162.43,180.68,161.17,306590600,9.524102690389705
2023-01-31 00:00:00,173.22,164.57,174.3,162.78,196813500,5.25612201494805
2023-02-14 00:00:00,209.25,191.94,209.82,189.44,216455700,9.01844326351985
2023-03-31 00:00:00,207.46,197.53,207.79,197.2,169638500,5.027084493494662
2023-06-22 00:00:00,264.61,250.77,265.0,248.25,166875900,5.519001475455598
2023-07-24 00:00:00,269.06,255.85,269.85,254.12,136508500,5.163181551690447
2023-08-29 00:00:00,257.18,238.58,257.48,237.77,134047600,7.796127085254419
2023-10-04 00:00:00,261.16,248.14,261.86,247.6,129721600,5.247037962440573
2024-02-15 00:00:00,200.45,189.16,200.88,188.86,120831800,5.96849228166631
2024-04-25 00:00:00,170.18,158.96,170.88,158.36,126427500,7.058379466532459
